date_day,close,high,last,low,open,max_volume,avg_volume
2021-06-04,311.43,313.425,313.33,312.58,312.6,132704.0,74626.5
2021-06-07,311.01,312.18,312.1,311.53,311.53,170945.0,92180.0
2021-06-08,309.96,312.27,312.26,310.67,310.67,173853.0,92600.0
2021-06-09,310.9,312.89,311.95,311.52,312.89,213522.0,114723.0
2021-06-10,307.34,309.6,309.26,308.21,308.21,191181.0,100272.0
2021-06-11,308.31,311.15,310.955,308.745,309.25,128498.0,70694.0
2021-06-14,310.77,311.23,311.11,310.93,310.93,138041.0,89236.5
2021-06-15,309.32,308.97,308.97,308.71,308.71,316352.0,224486.0
2021-06-16,306.45,307.33,307.09,306.0,306.0,190868.0,88033.5
2021-06-17,302.78,305.19,305.1,302.88,302.88,195934.0,87907.0
2021-06-18,303.12,303.62,303.48,300.47,300.47,229144.0,124501.0
2021-06-21,302.61,308.71,308.65,305.05,305.21,126518.0,79796.0
2021-06-22,307.6,314.84,314.03,309.45,309.45,147135.0,75598.5
2021-06-23,312.71,313.61,313.39,313.37,313.37,105450.0,52918.0
2021-06-24,311.67,314.75,314.75,313.11,313.84,121608.0,63637.0
2021-06-25,311.84,315.45,315.385,311.88,312.25,172288.0,66917.0
2021-06-28,313.63,315.27,315.22,313.26,313.39,138680.0,86850.5
2021-06-29,314.28,320.265,320.215,315.7,315.73,136711.0,82281.0
2021-06-30,318.24,320.24,320.05,317.86,317.86,127923.0,67838.0
